,user_id,lr_label,lrs_label,svm_label,svms_label,rf_label,rfs_label,mix_label,nn_label,true_label
0,1003318319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1004093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,10073874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1008009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1013867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,101580342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,10168840,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1017516288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
8,10179427,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
9,10195082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,10195472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
11,10201673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10219578,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
13,102303122,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
14,10243163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10245643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1024603006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,102473578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,10255791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,102731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,102857505,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,102910,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
23,1029518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,10297742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1030295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,10309576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,103250880,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
28,1033356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1033727,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
30,1034176944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,103503573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,10352632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,103563785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
34,1036063,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
35,1037159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,103720763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1037403094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,103781715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,103781715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,1041284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1041357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,10420009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1044511662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,104647238,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
45,1047075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,104792795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,10487390,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
