,TrajID,IMEI,IMSI,MRTime,RNCID_1,CellID_1,Dbm_1,AsuLevel_1,SignalLevel_1,RNCID_2,CellID_2,Dbm_2,AsuLevel_2,SignalLevel_2,RNCID_3,CellID_3,Dbm_3,AsuLevel_3,SignalLevel_3,RNCID_4,CellID_4,Dbm_4,AsuLevel_4,SignalLevel_4,RNCID_5,CellID_5,Dbm_5,AsuLevel_5,SignalLevel_5,RNCID_6,CellID_6,Dbm_6,AsuLevel_6,SignalLevel_6,Longitude,Latitude,Altitude,Accuracy,Speed
0,0.0,861374033830412.0,460012796993062.0,1507627346.0,950.5438319641398,722.9366204980761,-79.0,17.0,4.0,581.9500988574582,150.85995795205235,-83.0,15.0,4.0,1678.369897413184,858.0992537625134,-83.0,15.0,4.0,950.9485643133521,725.5801907517016,-81.0,16.0,4.0,772.455802969751,32.31270881509408,-91.0,11.0,3.0,1646.5735335428035,1179.7992821373045,-87.0,13.0,4.0,121.21361016,31.28926598,23.0,3.0,0.68
1,0.0,861374033830412.0,460012796993062.0,1507627351.0,1210.0018243454397,837.1222392614,-75.0,19.0,4.0,581.9500988574582,150.85995795205235,-81.0,16.0,4.0,1678.369897413184,858.0992537625134,-83.0,15.0,4.0,950.9485643133521,725.5801907517016,-83.0,15.0,4.0,772.455802969751,32.31270881509408,-91.0,11.0,3.0,1646.5735335428035,1179.7992821373045,-87.0,13.0,4.0,121.21357512,31.28922812,-7.0,8.0,0.0
2,0.0,861374033830412.0,460012796993062.0,1507627356.0,1210.0018243454397,837.1222392614,-75.0,19.0,4.0,581.9500988574582,150.85995795205235,-81.0,16.0,4.0,1678.369897413184,858.0992537625134,-83.0,15.0,4.0,950.9485643133521,725.5801907517016,-83.0,15.0,4.0,772.455802969751,32.31270881509408,-91.0,11.0,3.0,1646.5735335428035,1179.7992821373045,-87.0,13.0,4.0,121.21358264,31.28926254,1.0,5.0,0.0
3,0.0,861374033830412.0,460012796993062.0,1507627359.0,1210.0018243454397,837.1222392614,-73.0,20.0,4.0,581.9500988574582,150.85995795205235,-83.0,15.0,4.0,1678.369897413184,858.0992537625134,-81.0,16.0,4.0,950.9485643133521,725.5801907517016,-81.0,16.0,4.0,772.455802969751,32.31270881509408,-91.0,11.0,3.0,1646.5735335428035,1179.7992821373045,-85.0,14.0,4.0,121.21360502,31.28928476,-5.0,7.0,0.0
4,0.0,861374033830412.0,460012796993062.0,1507627362.0,1210.0018243454397,837.1222392614,-73.0,20.0,4.0,581.9500988574582,150.85995795205235,-83.0,15.0,4.0,1678.369897413184,858.0992537625134,-81.0,16.0,4.0,950.9485643133521,725.5801907517016,-81.0,16.0,4.0,772.455802969751,32.31270881509408,-89.0,12.0,4.0,1646.5735335428035,1179.7992821373045,-83.0,15.0,4.0,121.21359564,31.28928753,-1.0,4.0,0.0
5,0.0,861374033830412.0,460012796993062.0,1507627365.0,1210.0018243454397,837.1222392614,-63.0,25.0,4.0,581.9500988574582,150.85995795205235,-81.0,16.0,4.0,1678.369897413184,858.0992537625134,-81.0,16.0,4.0,950.9485643133521,725.5801907517016,-81.0,16.0,4.0,772.455802969751,32.31270881509408,-89.0,12.0,4.0,1646.5735335428035,1179.7992821373045,-83.0,15.0,4.0,121.21362195,31.28930046,2.0,5.0,0.0
6,0.0,861374033830412.0,460012796993062.0,1507627368.0,1210.0018243454397,837.1222392614,-61.0,26.0,4.0,581.9500988574582,150.85995795205235,-79.0,17.0,4.0,1678.369897413184,858.0992537625134,-79.0,17.0,4.0,950.9485643133521,725.5801907517016,-79.0,17.0,4.0,772.455802969751,32.31270881509408,-85.0,14.0,4.0,1646.5735335428035,1179.7992821373045,-79.0,17.0,4.0,121.21362589,31.28930881,3.0,6.0,0.0
7,0.0,861374033830412.0,460012796993062.0,1507627371.0,1210.0018243454397,837.1222392614,-65.0,24.0,4.0,581.9500988574582,150.85995795205235,-79.0,17.0,4.0,1678.369897413184,858.0992537625134,-77.0,18.0,4.0,950.9485643133521,725.5801907517016,-79.0,17.0,4.0,772.455802969751,32.31270881509408,-83.0,15.0,4.0,1646.5735335428035,1179.7992821373045,-77.0,18.0,4.0,121.21362335,31.28930383,5.0,6.0,0.0
8,0.0,861374033830412.0,460012796993062.0,1507627374.0,1210.0018243454397,837.1222392614,-69.0,22.0,4.0,581.9500988574582,150.85995795205235,-73.0,20.0,4.0,1678.369897413184,858.0992537625134,-73.0,20.0,4.0,950.9485643133521,725.5801907517016,-79.0,17.0,4.0,772.455802969751,32.31270881509408,-81.0,16.0,4.0,1646.5735335428035,1179.7992821373045,-77.0,18.0,4.0,121.21363337,31.2893021,8.0,7.0,0.0
9,0.0,861374033830412.0,460012796993062.0,1507627378.0,1210.0018243454397,837.1222392614,-75.0,19.0,4.0,581.9500988574582,150.85995795205235,-71.0,21.0,4.0,1678.369897413184,858.0992537625134,-73.0,20.0,4.0,950.9485643133521,725.5801907517016,-79.0,17.0,4.0,772.455802969751,32.31270881509408,-81.0,16.0,4.0,1646.5735335428035,1179.7992821373045,-73.0,20.0,4.0,121.21363277,31.28929923,8.0,8.0,0.0
