,user_id,gender
0,3899123,1
1,925660559,1
2,4365275,1
3,7937454,1
4,141082488,1
5,215069,1
6,20118993,0
7,38018081,1
8,31404714,1
9,638766,0
10,90735378,1
11,3106728,1
12,12947173,1
13,7911325,1
14,18011013,1
15,232479,1
16,3243473,0
17,799738062,1
18,2387689,1
19,4858010,1
20,300692306,0
21,14177236,0
22,7007463,1
23,131247669,1
24,115004366,0
25,55093224,1
26,1247784,1
27,449198,1
28,776047258,1
29,5354455,0
30,5920800,0
31,3847224,0
32,8008352,1
33,21191575,1
34,5778058,1
35,8627159,1
36,1496656,1
37,1151080852,0
38,5911694,1
39,29567581,1
40,19550645,1
41,9071903,1
42,2111845,0
43,2680786,1
44,6075554,1
45,104733969,1
46,41209779,0
47,20721187,1
48,215120,1
49,14888887,0
50,15382970,1
51,5116828,0
52,9086935,1
53,19787456,0
54,1310307,1
55,4240518,0
56,3811085,1
57,37138224,1
58,4017467,0
59,827411,1
60,190414757,0
61,2814004,1
62,3353177,1
63,175293635,1
64,20775682,0
65,21726819,1
66,114020171,0
67,26558338,0
68,52441989,1
69,3312167,1
70,40260442,1
71,34442803,1
72,113213828,0
73,9528785,1
74,21126219,1
75,64696090,1
76,5018390,1
77,13907943,1
78,13357984,1
79,843210,1
80,23518854,1
81,4016366,1
82,2149427,1
83,1970669,1
84,123382756,0
85,29191198,1
86,2019652,1
87,5016612,1
88,7230521,1
89,3298587,1
90,11630049,1
91,12923411,0
92,335649,1
93,49322489,1
94,280400,1
95,39216730,1
96,7045009,1
97,25996383,0
98,37354483,0
99,790051767,1
100,13800737,0
101,40147772,1
102,34465991,0
103,1211042,1
104,381302,1
105,71629402,0
106,278266,1
107,417999,1
108,41538295,1
109,16040234,0
110,24261852,1
111,4475818,1
112,1966173,1
113,31176003,1
114,38343828,0
115,25857480,0
116,20922130,1
117,25168235,1
118,14299850,1
119,9496012,0
120,757733925,1
121,33383710,0
122,125177945,0
123,14725334,1
124,31645405,1
125,2530072,1
126,276569,0
127,53801079,1
128,11609514,0
129,6587839,0
130,30518289,1
131,816547181,1
132,140820051,0
133,3437977,1
134,463533,1
135,18473131,1
136,506779338,1
137,2402105,0
138,23524040,1
139,3798250,1
140,1236089,1
141,41033796,1
142,18925771,0
143,39065098,1
144,59637787,1
145,8765495,1
146,830047,1
147,838934481,1
148,26545800,1
149,59295805,1
150,34237771,1
151,118231981,1
152,2225426,1
153,477583124,1
154,2145151,1
155,19151697,1
156,61712827,0
157,545304,1
158,9160160,1
159,5381998,0
160,20581593,1
161,39006567,1
162,15106221,1
163,393645,1
164,5390743,1
165,2826329,1
166,24306527,1
167,5718553,1
168,6058663,1
169,6669055,0
170,1386686,1
171,3789177,1
172,44926987,1
173,6807076,1
174,3475297,1
175,4645073,1
176,22786608,1
177,14551025,1
178,23612163,1
179,38755,1
180,11572290,0
181,2883097,1
182,105735076,0
183,27271228,0
184,5693756,1
185,21496498,1
186,3357568,1
187,22488177,0
188,3214526,1
189,941771,1
190,5412083,0
191,9669440,1
192,3418672,1
193,48516990,1
194,14954437,1
195,7238678,1
196,7981,1
197,9491773,1
198,96519,1
199,11592384,0
200,17707340,0
201,10956,0
202,2518166,1
203,6305502,1
204,174582634,1
205,36238214,1
206,13806292,1
207,6160340,0
208,4398610,1
209,725978,1
210,32539157,1
211,24350482,0
212,3599967,1
213,63776,0
214,464502,1
215,3165713,1
216,41175948,1
217,27062209,1
218,28963835,0
219,791970733,1
220,27835751,1
221,1052183,1
222,47959967,0
223,771060645,1
224,762252353,0
225,14328119,1
226,116612877,1
227,1823312,1
228,71471585,0
229,121611637,0
230,38837666,1
231,148856879,1
232,1002765,1
233,14793762,1
234,15087347,0
235,29880804,1
236,22452435,0
237,10571988,1
238,496021,1
239,15333127,1
240,5982372,0
241,858020813,1
242,153473160,1
243,22891277,1
244,5424023,1
245,5374954,1
246,237155,1
247,33128337,0
248,869608176,1
249,301393,1
250,472637049,1
251,41953977,1
252,38569305,1
253,22862854,1
254,21501580,0
255,14381506,0
256,2342149,1
257,215040,1
258,38262216,0
259,4323773,1
260,5121041,1
261,2437274,1
262,126976,1
263,25454077,1
264,44537785,1
265,11514476,1
266,26638892,1
267,26013976,0
268,2796225,0
269,108114295,0
270,1154518525,0
271,5866040,1
272,47882398,1
273,30076891,0
274,1338998,1
275,7933273,1
276,30135777,1
277,1738953,0
278,12281288,0
279,51985050,0
280,3501988,1
281,2802243,0
282,59577708,1
283,28364283,0
284,53267168,0
285,751603791,0
286,22556579,0
287,20078968,1
288,739061,1
289,29194410,1
290,13829640,1
291,11718494,1
292,104437829,0
293,13685347,0
294,373903,1
295,326626,1
296,908241,1
297,8355732,0
298,5256044,0
299,4911989,1
300,40558598,1
301,2397755,1
302,14533295,1
303,28884795,1
304,25971255,0
305,14102430,0
306,21012890,1
307,469980,0
308,1363217,1
309,188405,1
310,2396467,1
311,43010589,1
312,20469413,1
313,2969240,1
314,2946845,0
315,15470977,1
316,4096022,0
317,4293970,1
318,7983972,1
319,1694562,1
320,2168658,1
321,1274105,1
322,78813901,1
323,2192051,0
324,2922379,1
325,78023314,1
326,745763,1
327,15578275,0
328,39795788,1
329,4721525,0
330,7973228,1
331,32826794,1
332,21035547,1
333,8673721,1
334,19351603,1
335,2906779,1
336,953264065,0
337,667900,1
338,3937730,0
339,8650522,0
340,28777392,1
341,35862296,0
342,1554405,1
343,24272438,0
344,13234488,1
345,25192399,1
346,38336963,1
347,19073378,0
348,21205035,0
349,24240187,0
350,2501955,1
351,358317,1
352,2533870,1
353,4866707,1
354,11426247,0
355,2449229,0
356,6744819,1
357,12010051,1
358,21723527,1
359,35784523,0
360,54122684,1
361,7174660,1
362,12894384,1
363,4921305,1
364,5035433,1
365,25565987,0
366,63292466,0
367,8147975,1
368,7017861,1
369,32033435,1
370,25122240,1
371,6071190,1
372,2731932,1
373,28490023,1
374,2262961,0
375,1295954,0
376,33612,0
377,104654430,1
378,37055210,1
379,6463967,1
380,15191290,1
381,99295326,0
382,14568970,1
383,25315507,1
384,20991455,1
385,25904976,1
386,104204316,1
387,14318404,0
388,2884978,1
389,69129328,0
390,100503169,0
391,133232093,0
392,1206483,1
393,1950120,0
394,3461535,1
395,9427964,0
396,1070555,1
397,895563,1
398,5811601,1
399,26601141,1
400,31627555,0
401,2711837,1
402,28087448,1
403,1795719,1
404,1840823,1
405,2033466,1
406,13268,1
407,34656775,1
408,2440000,1
409,1839291,1
410,6815678,1
411,13980701,0
412,3313636,1
413,43002678,1
414,217177,0
415,18018695,1
416,2961731,0
417,217292,1
418,14486892,1
419,6137242,1
420,3977664,0
421,5977426,1
422,841151304,1
423,38047810,1
424,5532142,1
425,21386659,1
426,19905264,1
427,790700558,1
428,1798410,0
429,14008962,1
430,1305428,0
431,1791627,0
432,89158932,1
433,142090,1
434,23265141,1
435,4163242,1
436,26741777,1
437,780919115,0
438,1358380,1
439,52854631,1
440,3955054,1
441,3580613,1
442,473460,1
443,4159168,1
444,825383198,1
445,508858,1
446,4045356,1
447,77282388,1
448,3029019,1
449,33963065,1
450,1960238,0
451,1158252,1
452,15526925,1
453,708501,1
454,18100958,1
455,52258636,1
456,283420,1
457,126875233,1
458,66372,0
459,7008504,0
460,1279381,0
461,1581429,1
462,14395390,1
463,10224659,1
464,1241418,1
465,3451443,1
466,5832860,1
467,6037608,1
468,4855940,1
469,32334388,1
470,1241820,1
471,3006096,1
472,23713888,1
473,23189158,1
474,492459,0
475,22955266,0
476,29933256,1
477,13917964,0
478,8517199,1
479,8125905,1
480,2503427,1
481,13806292,1
482,351275,1
483,4745928,1
484,19130676,1
485,21550430,1
486,1342477,1
487,3185180,1
488,8293485,1
489,13927270,0
490,44237,1
491,120842112,1
492,5440906,1
493,1579009,1
494,3565001,1
495,755676267,1
496,1040481,1
497,2139422,1
498,5331334,1
499,1957041,1
500,366098,1
501,797343514,1
502,30410734,1
503,18122094,1
504,107051913,0
505,249845,0
506,772129,1
507,134646011,0
508,3362250,1
509,4605802,1
510,62521,0
511,19502262,1
512,162721862,1
513,7060513,1
514,3730174,0
515,3934909,1
516,15167,1
517,23420072,0
518,24011164,0
519,213271,0
520,5623689,0
521,10607448,1
522,32124813,1
523,57162017,1
524,406171,1
525,31918367,1
526,1097758948,1
527,908152,1
528,1944127,0
529,750832784,1
530,760195093,1
531,13028728,1
532,1469766,1
533,30896269,1
534,13608127,1
535,28284974,1
536,30597205,1
537,2219077,1
538,25165937,1
539,13380239,1
540,1923251,0
541,92190232,1
542,795468629,1
543,17869422,1
544,26326656,1
545,24507870,1
546,21551761,1
547,2700652,1
548,181193,0
549,1808115,1
550,33134901,1
551,342637,1
552,43604976,1
553,24678191,1
554,3239450,0
555,22251301,1
556,26721759,1
557,27586718,1
558,3303043,1
559,25854484,1
560,1259800,1
561,1137359279,1
562,146333850,1
563,1004524,0
564,4013642,1
565,101860,0
566,3069948,0
567,4939168,1
568,1418137,1
569,926769766,1
570,34506637,1
571,36961822,0
572,8409593,1
573,31787358,1
574,5079250,0
575,7988068,0
576,2112962,0
577,682781,1
578,142654774,1
579,137191,1
580,3653269,1
581,26463208,1
582,122735313,1
583,26879233,0
584,15086692,1
585,2564428,0
586,3343313,1
587,3632414,1
588,8965764,1
589,8199306,1
590,936307,1
591,127978384,0
592,19890838,0
593,461201,1
594,2671693,1
595,19316168,1
596,114794311,1
597,46752,1
598,5526236,1
599,14369616,0
600,61317405,1
601,13068863,0
602,20907007,1
603,33418089,1
604,13944111,0
605,1887000,0
606,778792209,1
607,46820796,0
608,112721584,0
609,5469659,0
610,3144428,1
611,18697710,1
612,7294413,0
613,6092175,1
614,56456649,0
615,790354959,1
616,22746136,1
617,6746600,1
618,2029417,1
619,3694316,1
620,5422282,1
621,18923210,0
622,30024089,1
623,13877421,1
624,6926025,0
625,12791654,1
626,247334,1
627,6119549,1
628,785191980,1
629,716462,1
630,37087967,1
631,851411593,1
632,124197,1
633,21680608,1
634,4243997,1
635,2836924,1
636,6121507,1
637,4479129,0
638,3611725,1
639,6445624,0
640,4721185,1
641,243827155,1
642,18308194,1
643,132606423,1
644,10345169,0
645,38309333,1
646,31916077,1
647,11618629,0
648,328759,1
649,1070686295,1
650,8339364,0
651,704006,1
652,25780787,1
653,467075,1
654,11377995,0
655,1312547,1
656,1361565,1
657,1698176,1
658,4756215,1
659,12766260,0
660,22267789,0
661,1128679,1
662,9650813,1
663,5396342,1
664,1368287,1
665,37332533,1
666,32267342,0
667,100782,1
668,35601405,1
669,210169,0
670,14371814,1
671,13568565,1
672,2424998,1
673,108975325,1
674,1489065,1
675,3300325,1
676,2070326,1
677,4892765,0
678,2437703,0
679,49248697,0
680,17706526,1
681,4967603,0
682,675089,1
683,17004474,0
684,922000,1
685,2944595,0
686,1145380,1
687,5420080,1
688,11679552,1
689,58222544,1
690,1881854,1
691,3296034,0
692,514329,0
693,187051699,1
694,51140690,1
695,1357129,1
696,2523193,1
697,8769236,1
698,36917726,1
699,21858642,0
700,4310440,1
701,26813567,1
702,26371595,0
703,55343063,1
704,334455,1
705,3413988,1
706,25724225,1
707,4175133,1
708,8690275,0
709,295195,1
710,14216648,1
711,90112,1
712,864985858,1
713,20038811,1
714,15375660,1
715,26310905,1
716,5403989,0
717,39055902,1
718,3871206,0
719,3347847,1
720,909429914,1
721,8046646,1
722,47663568,1
723,23145481,1
724,4475459,1
725,6549385,1
726,9141945,0
727,54852,1
728,6670967,1
729,25088444,0
730,734153,1
731,29900071,1
732,54341288,1
733,20629161,1
734,5124024,0
735,7399806,1
736,27335344,1
737,1287797,0
738,19217284,1
739,14917802,1
740,449569,1
741,14448245,1
742,1992052,1
743,335692,1
744,9127651,1
745,11298654,0
746,319524,0
747,51773585,0
748,17990821,1
749,6629369,1
750,45300023,1
751,14331985,1
752,110258959,1
